travel_distance,lifetime,ymin,_id,xmin,id,xmax,image_name,camera,travel_displacement,timestamp,count_id,travel_trajectory,frame_no,original_video_name,ymax,tracking_id,parent_image_name,timestamp_precise,true_video_name,full_image_names,video_name
1676.2604694138404,7.278000116348267,578,662e9a388d1d64541ab7d9c5,712,41g0_mbk-14-11_1714322401_1714322693_2347,1092,,mbk-14-11,1279.787735095695,2024-04-28 16:45:01,41g0,106.09662875355079,2347,mbk-14-11_1714322401.mp4,1210,41,,2024-04-28 16:44:53.442000,mbk-14-11_1714322401.mp4,[],mbk-14-11_1714322701.mp4
2915.8707504731137,29.23200011253357,86,662e9a6c8d1d64541ab8ff58,1494,49g0_mbk-14-12_1714321201_1714321371_1375,1676,,mbk-14-12,1104.8048539636188,2024-04-28 16:20:01,49g0,186.1456966945623,1375,mbk-14-12_1714321201.mp4,630,49,,2024-04-28 16:22:51.997000,mbk-14-12_1714321201.mp4,[],mbk-14-12_1714321201.mp4
2435.5285155966185,6.517999887466431,2,662e89e88d1d64541a4a72f1,1866,72g0_mbk-14-14_1714320901_1714320950_406,2027,,mbk-14-14,2077.124883881647,2024-04-28 16:15:01,72g0,38.24612750387073,406,mbk-14-14_1714320901.mp4,402,72,,2024-04-28 16:15:50.871000,mbk-14-14_1714320901.mp4,[],mbk-14-14_1714320901.mp4
2647.804608434223,11.235999822616577,25,662e89e88d1d64541a4a72ff,1618,73g0_mbk-14-14_1714320901_1714320951_410,1833,,mbk-14-14,2331.5413781768366,2024-04-28 16:15:01,73g0,36.133163108891935,410,mbk-14-14_1714320901.mp4,559,73,,2024-04-28 16:15:51.350000,mbk-14-14_1714320901.mp4,[],mbk-14-14_1714320901.mp4
2061.771451732051,3.997999906539917,522,662e89e88d1d64541a4a7305,369,74g0_mbk-14-14_1714320901_1714320948_384,814,,mbk-14-14,1796.0658402072247,2024-04-28 16:15:01,74g0,40.39869372311502,384,mbk-14-14_1714320901.mp4,1178,74,,2024-04-28 16:15:48.111000,mbk-14-14_1714320901.mp4,[],mbk-14-14_1714320901.mp4
2408.7905975273156,10.476999998092651,0,662e89e88d1d64541a4a7313,1892,84g0_mbk-14-14_1714320901_1714321081_1451,2051,,mbk-14-14,2252.8055239045684,2024-04-28 16:15:01,84g0,31.285553461287307,1451,mbk-14-14_1714320901.mp4,388,84,,2024-04-28 16:18:01.474000,mbk-14-14_1714320901.mp4,[],mbk-14-14_1714320901.mp4
2848.3077088967084,10.877000093460083,519,662e89e88d1d64541a4a7309,262,80g0_mbk-14-14_1714320901_1714321072_1380,482,,mbk-14-14,2151.45583607623,2024-04-28 16:15:01,80g0,26.23031820149804,1380,mbk-14-14_1714320901.mp4,971,80,,2024-04-28 16:17:52.596000,mbk-14-14_1714320901.mp4,[],mbk-14-14_1714320901.mp4
2470.406432156187,9.72000002861023,189,662e89e88d1d64541a4a730c,1210,81g0_mbk-14-14_1714320901_1714321074_1397,1444,,mbk-14-14,2260.2712824173727,2024-04-28 16:15:01,81g0,29.792747434104808,1397,mbk-14-14_1714320901.mp4,838,81,,2024-04-28 16:17:54.716000,mbk-14-14_1714320901.mp4,[],mbk-14-14_1714320901.mp4
2718.3244966862503,9.358000040054321,559,662e89e88d1d64541a4a730f,292,83g0_mbk-14-14_1714320901_1714321076_1413,676,,mbk-14-14,2138.6956994698494,2024-04-28 16:15:01,83g0,31.749318105668152,1413,mbk-14-14_1714320901.mp4,1063,83,,2024-04-28 16:17:56.715000,mbk-14-14_1714320901.mp4,[],mbk-14-14_1714320901.mp4
2379.272255253039,8.358000040054321,0,662e86f88d1d64541a3310b1,1904,5g0_mbk-14-13_1714320901_1714320947_377,2037,,mbk-14-13,2089.0944046656787,2024-04-28 16:15:01,5g0,33.939487876169956,377,mbk-14-13_1714320901.mp4,337,5,,2024-04-28 16:15:47.312000,mbk-14-13_1714320901.mp4,[],mbk-14-13_1714320901.mp4
