is_plate_valid,travel_distance,vehicle_type_confidence,lifetime,ymin,vehicle_type_model,_id,plate_number,xmin,province_confidence,similarized_plate_number,plate_number_confidence,plate_representative_vehicle_image_name,id,car_brand_model,xmax,image_name,purchasing_power,province,camera,travel_displacement,timestamp,count_id,car_brand,travel_trajectory,frame_no,original_video_name,ymax,plate_color_confidence,vehicle_type,car_brand_confidence,plate_number_definition,tracking_id,parent_image_name,plate_color,plate_image_name,timestamp_precise,true_video_name,full_image_names,video_name
False,1.1710611979166856,,1.8380000591278076,0,,662e9af28d1d64541abbec9a,,1334,,,,,1g40_mbk-14-12-vehicle-snapshot_1714323301_1714323301_0,,2139,,NA,,mbk-14-12-vehicle-snapshot,1.1710611979166856,2024-04-28 16:55:01,1g40,,90.0,0,mbk-14-12-vehicle-snapshot_1714323301.mp4,461,,,,na,1,,,,2024-04-28 16:55:01,mbk-14-12_1714323301.mp4,[],mbk-14-12-vehicle-snapshot_1714323301.mp4
False,2.3421223958332575,,37.47000002861023,0,,662e9af28d1d64541abbec9d,,1341,,,,,1g41_mbk-14-12-vehicle-snapshot_1714323301_1714323375_600,,2137,,NA,,mbk-14-12-vehicle-snapshot,2.3421223958332575,2024-04-28 16:55:01,1g41,,0.0,600,mbk-14-12-vehicle-snapshot_1714323301.mp4,463,,,,na,1,,,,2024-04-28 16:56:15.104000,mbk-14-12_1714323301.mp4,[],mbk-14-12-vehicle-snapshot_1714323301.mp4
False,1.6561306284627004,,37.4689998626709,0,,662e9af28d1d64541abbeca1,,1343,,,,,1g42_mbk-14-12-vehicle-snapshot_1714323301_1714323450_1200,,2139,,NA,,mbk-14-12-vehicle-snapshot,1.6561306284627004,2024-04-28 16:55:01,1g42,,315.00000000000136,1200,mbk-14-12-vehicle-snapshot_1714323301.mp4,463,,,,na,1,,,,2024-04-28 16:57:30.083000,mbk-14-12_1714323301.mp4,[],mbk-14-12-vehicle-snapshot_1714323301.mp4
False,2.6185724443539424,,37.46900010108948,0,,662e9af28d1d64541abbeca4,,1336,,,,,1g43_mbk-14-12-vehicle-snapshot_1714323301_1714323525_1800,,2137,,NA,,mbk-14-12-vehicle-snapshot,2.6185724443539424,2024-04-28 16:55:01,1g43,,206.56505117707908,1800,mbk-14-12-vehicle-snapshot_1714323301.mp4,463,,,,na,1,,,,2024-04-28 16:58:45.062000,mbk-14-12_1714323301.mp4,[],mbk-14-12-vehicle-snapshot_1714323301.mp4
False,4.22232119579483,,36.58899998664856,0,,662e9af28d1d64541abbeca7,,1336,,,,,1g44_mbk-14-12-vehicle-snapshot_1714323301_1714323599_2400,,2137,,NA,,mbk-14-12-vehicle-snapshot,4.22232119579483,2024-04-28 16:55:01,1g44,,213.69006752597988,2400,mbk-14-12-vehicle-snapshot_1714323301.mp4,466,,,,na,1,,,,2024-04-28 16:59:59.161000,mbk-14-12_1714323301.mp4,[],mbk-14-12-vehicle-snapshot_1714323301.mp4
True,1.171061197916515,0.6515321731567383,36.109999895095825,0,vehicle-type/default-surveillance/all_all-bidirectional_vehicle-type_2.1.1_efficientnetb4_v1.1.0_vom-pc_epoch-28_val-loss-0.1210_val-acc-0.9747.h5,662e9af28d1d64541abbebc2,บน3364,1343,0.999528169631958,บน3364,0.9999980422103789,2024-04-28T23-49-58_FLAG_P_FID_2400_OID_1g35_mbk-14-12-vehicle-snapshot_1714322701_1714322998_2400.jpg,1g35_mbk-14-12-vehicle-snapshot_1714322701_1714322998_2400,car-brand-classifier/default-surveillance/all-racha-classes_all-bidirectional_vehicle-brand_2.0.3_efficientnetb4_v1.0.0_epoch-44_val-loss-0.1539_val-acc-0.9620.h5,2139,2024-04-28T23-49-58_FLAG_P_FID_2400_OID_1g35_mbk-14-12-vehicle-snapshot_1714322701_1714322998_2400.jpg,NA,th-13,mbk-14-12-vehicle-snapshot,1.171061197916515,2024-04-28 16:50:01,1g35,isuzu,180.0,2400,mbk-14-12-vehicle-snapshot_1714322701.mp4,463,0.674722464631556,truck,0.999116837978363,customer,1,2024-04-28T23-49-58_FLAG_P_FID_2400_OID_1g35_mbk-14-12-vehicle-snapshot_1714322701_1714322998_2400.jpg,white,,2024-04-28 16:49:58.682000,mbk-14-12_1714322701.mp4,['2024-04-28T23-49-58_FLAG_P_FID_2400_OID_1g35_mbk-14-12-vehicle-snapshot_1714322701_1714322998_2400.jpg'],mbk-14-12-vehicle-snapshot_1714323001.mp4
True,1.1710611979166856,0.7762976288795471,36.63499999046326,0,vehicle-type/default-surveillance/all_all-bidirectional_vehicle-type_2.1.1_efficientnetb4_v1.1.0_vom-pc_epoch-28_val-loss-0.1210_val-acc-0.9747.h5,662e9af28d1d64541abbebc5,บน3364,1343,0.9978692531585693,บน3364,0.9999976387318283,2024-04-28T23-50-37_FLAG_P_FID_300_OID_1g36_mbk-14-12-vehicle-snapshot_1714323001_1714323037_300.jpg,1g36_mbk-14-12-vehicle-snapshot_1714323001_1714323037_300,car-brand-classifier/default-surveillance/all-racha-classes_all-bidirectional_vehicle-brand_2.0.3_efficientnetb4_v1.0.0_epoch-44_val-loss-0.1539_val-acc-0.9620.h5,2139,2024-04-28T23-50-37_FLAG_P_FID_300_OID_1g36_mbk-14-12-vehicle-snapshot_1714323001_1714323037_300.jpg,NA,th-13,mbk-14-12-vehicle-snapshot,1.1710611979166856,2024-04-28 16:50:01,1g36,isuzu,90.0,300,mbk-14-12-vehicle-snapshot_1714323001.mp4,461,0.6815889507633017,truck,0.9995779395103455,customer,1,2024-04-28T23-50-37_FLAG_P_FID_300_OID_1g36_mbk-14-12-vehicle-snapshot_1714323001_1714323037_300.jpg,white,,2024-04-28 16:50:37.635000,mbk-14-12_1714323001.mp4,['2024-04-28T23-50-37_FLAG_P_FID_300_OID_1g36_mbk-14-12-vehicle-snapshot_1714323001_1714323037_300.jpg'],mbk-14-12-vehicle-snapshot_1714323001.mp4
True,3.51318359375,0.5897355079650879,37.509000062942505,0,vehicle-type/default-surveillance/all_all-bidirectional_vehicle-type_2.1.1_efficientnetb4_v1.1.0_vom-pc_epoch-28_val-loss-0.1210_val-acc-0.9747.h5,662e9af28d1d64541abbebc8,บน3364,1334,0.9983804225921631,บน3364,0.999996808845953,2024-04-28T23-51-52_FLAG_P_FID_900_OID_1g37_mbk-14-12-vehicle-snapshot_1714323001_1714323112_900.jpg,1g37_mbk-14-12-vehicle-snapshot_1714323001_1714323112_900,car-brand-classifier/default-surveillance/all-racha-classes_all-bidirectional_vehicle-brand_2.0.3_efficientnetb4_v1.0.0_epoch-44_val-loss-0.1539_val-acc-0.9620.h5,2139,2024-04-28T23-51-52_FLAG_P_FID_900_OID_1g37_mbk-14-12-vehicle-snapshot_1714323001_1714323112_900.jpg,NA,th-13,mbk-14-12-vehicle-snapshot,3.51318359375,2024-04-28 16:50:01,1g37,isuzu,0.0,900,mbk-14-12-vehicle-snapshot_1714323001.mp4,463,0.6666877635040276,truck,0.999477207660675,customer,1,2024-04-28T23-51-52_FLAG_P_FID_900_OID_1g37_mbk-14-12-vehicle-snapshot_1714323001_1714323112_900.jpg,white,,2024-04-28 16:51:52.614000,mbk-14-12_1714323001.mp4,['2024-04-28T23-51-52_FLAG_P_FID_900_OID_1g37_mbk-14-12-vehicle-snapshot_1714323001_1714323112_900.jpg'],mbk-14-12-vehicle-snapshot_1714323001.mp4
True,16.436627174253335,0.49649035930633545,37.508999824523926,0,vehicle-type/default-surveillance/all_all-bidirectional_vehicle-type_2.1.1_efficientnetb4_v1.1.0_vom-pc_epoch-28_val-loss-0.1210_val-acc-0.9747.h5,662e9af28d1d64541abbebcb,บน3364,1331,0.9995393753051758,บน3364,0.9999951260296811,2024-04-28T23-53-07_FLAG_P_FID_1500_OID_1g38_mbk-14-12-vehicle-snapshot_1714323001_1714323187_1500.jpg,1g38_mbk-14-12-vehicle-snapshot_1714323001_1714323187_1500,car-brand-classifier/default-surveillance/all-racha-classes_all-bidirectional_vehicle-brand_2.0.3_efficientnetb4_v1.0.0_epoch-44_val-loss-0.1539_val-acc-0.9620.h5,2135,2024-04-28T23-53-07_FLAG_P_FID_1500_OID_1g38_mbk-14-12-vehicle-snapshot_1714323001_1714323187_1500.jpg,NA,th-13,mbk-14-12-vehicle-snapshot,16.436627174253335,2024-04-28 16:50:01,1g38,isuzu,355.91438322002506,1500,mbk-14-12-vehicle-snapshot_1714323001.mp4,463,0.679988812114948,truck,0.9994691014289856,customer,1,2024-04-28T23-53-07_FLAG_P_FID_1500_OID_1g38_mbk-14-12-vehicle-snapshot_1714323001_1714323187_1500.jpg,white,,2024-04-28 16:53:07.593000,mbk-14-12_1714323001.mp4,['2024-04-28T23-53-07_FLAG_P_FID_1500_OID_1g38_mbk-14-12-vehicle-snapshot_1714323001_1714323187_1500.jpg'],mbk-14-12-vehicle-snapshot_1714323001.mp4
True,43.32926432291674,0.2657015025615692,37.509000062942505,0,vehicle-type/default-surveillance/all_all-bidirectional_vehicle-type_2.1.1_efficientnetb4_v1.1.0_vom-pc_epoch-28_val-loss-0.1210_val-acc-0.9747.h5,662e9af28d1d64541abbebce,บน3364,1254,0.8851966857910156,บน3364,0.9999918108496816,2024-04-28T23-54-22_FLAG_P_FID_2100_OID_1g39_mbk-14-12-vehicle-snapshot_1714323001_1714323262_2100.jpg,1g39_mbk-14-12-vehicle-snapshot_1714323001_1714323262_2100,car-brand-classifier/default-surveillance/all-racha-classes_all-bidirectional_vehicle-brand_2.0.3_efficientnetb4_v1.0.0_epoch-44_val-loss-0.1539_val-acc-0.9620.h5,2139,2024-04-28T23-54-22_FLAG_P_FID_2100_OID_1g39_mbk-14-12-vehicle-snapshot_1714323001_1714323262_2100.jpg,NA,th-13,mbk-14-12-vehicle-snapshot,43.32926432291674,2024-04-28 16:50:01,1g39,isuzu,180.0,2100,mbk-14-12-vehicle-snapshot_1714323001.mp4,461,0.6756702079586758,van,0.9999533891677856,customer,1,2024-04-28T23-54-22_FLAG_P_FID_2100_OID_1g39_mbk-14-12-vehicle-snapshot_1714323001_1714323262_2100.jpg,white,,2024-04-28 16:54:22.572000,mbk-14-12_1714323001.mp4,['2024-04-28T23-54-22_FLAG_P_FID_2100_OID_1g39_mbk-14-12-vehicle-snapshot_1714323001_1714323262_2100.jpg'],mbk-14-12-vehicle-snapshot_1714323001.mp4
