timestamp_precise,_id,id,count_id,ymax,ymin,travel_distance,travel_trajectory,original_video_name,xmin,parent_image_name,image_name,timestamp,frame_no,lifetime,true_video_name,camera,travel_displacement,video_name,xmax,full_image_names,tracking_id
2024-04-29 16:47:39.281000,662fdbf58d1d64541a8f14b9,580g0_mbk-14-13_1714409101_1714409259_1273,580g0,379,72,14175.636463921335,187.35737376185958,mbk-14-13_1714409101.mp4,1719,,,2024-04-29 16:45:01,1273,248.69400000572205,mbk-14-13_1714409101.mp4,mbk-14-13,429.80498609692637,mbk-14-13_1714409101.mp4,1810,[],580
2024-04-29 16:47:29.884000,662fdbf58d1d64541a8f14ba,614g0_mbk-14-13_1714409101_1714409249_1198,614g0,690,93,2721.234758910978,200.0339231644629,mbk-14-13_1714409101.mp4,1499,,,2024-04-29 16:45:01,1198,41.62999987602234,mbk-14-13_1714409101.mp4,mbk-14-13,902.4559570360591,mbk-14-13_1714409101.mp4,1677,[],614
2024-04-29 16:47:26.045000,662fdbf58d1d64541a8f14bd,621g0_mbk-14-13_1714409101_1714409246_1167,621g0,203,0,357.14288664498775,219.8768344628719,mbk-14-13_1714409101.mp4,2065,,,2024-04-29 16:45:01,1167,5.1590001583099365,mbk-14-13_1714409101.mp4,mbk-14-13,120.55106692697484,mbk-14-13_1714409101.mp4,2178,[],621
2024-04-29 16:48:26.748000,662fdbf58d1d64541a8f14c1,636g0_mbk-14-13_1714409101_1714409306_1653,636g0,630,126,1728.60070522936,152.62759827039042,mbk-14-13_1714409101.mp4,1487,,,2024-04-29 16:45:01,1653,7.637999773025513,mbk-14-13_1714409101.mp4,mbk-14-13,1003.5365872188247,mbk-14-13_1714409101.mp4,1705,[],636
2024-04-29 16:35:09.763000,662fdd128d1d64541a97540a,143g0_mbk-14-14_1714408501_1714408509_92,143g0,861,292,1898.9102082459258,38.15424600268085,mbk-14-14_1714408501.mp4,1217,,,2024-04-29 16:40:01,92,7.997999906539917,mbk-14-14_1714408501.mp4,mbk-14-14,1264.361103001079,mbk-14-14_1714408801.mp4,1496,[],143
2024-04-29 16:35:02.764000,662fdc048d1d64541a8f76fd,461g0_mbk-14-13_1714408501_1714408502_21,461g0,437,37,6492.6101609175375,144.90114775539877,mbk-14-13_1714408501.mp4,1705,,,2024-04-29 16:40:01,21,75.30200004577637,mbk-14-13_1714408501.mp4,mbk-14-13,977.6004571591947,mbk-14-13_1714408801.mp4,1883,[],461
2024-04-29 16:35:07.123000,662fdc048d1d64541a8f7705,498g0_mbk-14-13_1714408501_1714408507_56,498g0,519,74,843.8430076584599,171.130865310507,mbk-14-13_1714408501.mp4,1674,,,2024-04-29 16:40:01,56,6.478000164031982,mbk-14-13_1714408501.mp4,mbk-14-13,539.2809927766112,mbk-14-13_1714408801.mp4,1894,[],498
2024-04-29 16:40:12.243000,662fdc048d1d64541a8f7709,501g0_mbk-14-13_1714408801_1714408812_97,501g0,548,67,673.2088309304179,199.02998745374984,mbk-14-13_1714408801.mp4,1649,,,2024-04-29 16:40:01,97,13.121999979019165,mbk-14-13_1714408801.mp4,mbk-14-13,499.2210674215518,mbk-14-13_1714408801.mp4,1836,[],501
2024-04-29 16:43:24.589000,662fdc048d1d64541a8f770d,506g0_mbk-14-13_1714408801_1714409004_1636,506g0,381,49,16879.83828557918,110.98125347190006,mbk-14-13_1714408801.mp4,1878,,,2024-04-29 16:40:01,1636,200.22399997711182,mbk-14-13_1714408801.mp4,mbk-14-13,941.9183801673074,mbk-14-13_1714408801.mp4,2009,[],506
2024-04-29 16:41:54.214000,662fdc048d1d64541a8f770e,534g0_mbk-14-13_1714408801_1714408914_913,534g0,309,119,465.9504141707243,140.8615413981965,mbk-14-13_1714408801.mp4,1958,,,2024-04-29 16:40:01,913,0.999000072479248,mbk-14-13_1714408801.mp4,mbk-14-13,437.85162292045055,mbk-14-13_1714408801.mp4,2077,[],534
