lifetime,travel_displacement,ymin,is_plate_valid,timestamp_precise,travel_trajectory,timestamp,car_brand,frame_no,travel_distance,image_name,ymax,true_video_name,province_confidence,purchasing_power,plate_image_name,plate_number,xmin,car_brand_confidence,original_video_name,plate_number_confidence,similarized_plate_number,vehicle_type,plate_color_confidence,camera,xmax,plate_color,video_name,vehicle_type_confidence,province,xmid,ymid,timestamp_unix,timestamp_unix_end,reverse_count,cross_count
2.5989999771118164,1029.597244961508,0,True,2024-04-29 02:09:10.575,191.01597945894125,2024-04-29 02:05:01,discard,2005,1058.578842124093,2024-04-29T09-09-10_FLAG_P_FID_2005_OID_8g0_mbk-14-11-vehicle_1714356301_1714356550_2005.jpg,236,mbk-14-11_1714356301.mp4,0.7642782926559448,,,กก4435,965,0.8654375076293945,mbk-14-11-vehicle_1714356301.mp4,0.4602392409620638,กก4435,pickup,0.529759841876601,mbk-14-11-vehicle,1789,white,mbk-14-11-vehicle_1714356301.mp4,0.8349130749702454,th-10,1377.0,118.0,1714356550,1714356552,0,0
3.4790000915527344,1298.9180436015686,0,True,2024-04-29 02:10:17.760,192.23185395165905,2024-04-29 02:10:01,mercedes,141,1308.974117124039,2024-04-29T09-10-17_FLAG_P_FID_141_OID_9g0_mbk-14-11-vehicle_1714356601_1714356617_141.jpg,358,mbk-14-11_1714356601.mp4,0.9861109256744384,luxury,,1กท9770,1005,0.6125622987747192,mbk-14-11-vehicle_1714356601.mp4,0.7773550090799036,1กท9770,suv,0.6595458274797933,mbk-14-11-vehicle,1752,white,mbk-14-11-vehicle_1714356601.mp4,0.9842956066131592,th-10,1378.5,179.0,1714356617,1714356620,0,0
1.3989999294281006,541.7914347401082,0,False,2024-04-29 02:24:51.844,198.78741328694863,2024-04-29 02:20:01,,2335,1293.051311594721,,217,mbk-14-11_1714357201.mp4,,,,,1005,,mbk-14-11-vehicle_1714357201.mp4,,,,,mbk-14-11-vehicle,1726,,mbk-14-11-vehicle_1714357201.mp4,,,1365.5,108.5,1714357491,1714357492,0,0
31.711000204086304,626.9728666578332,0,True,2024-04-29 02:28:48.181,202.3975979528248,2024-04-29 02:25:01,toyota,1825,1026.377811906268,2024-04-29T09-28-48_FLAG_P_FID_1825_OID_55g0_mbk-14-11-vehicle_1714357501_1714357728_1825.jpg,426,mbk-14-11_1714357501.mp4,0.9899223446846008,premium,,6กจ2543,1562,0.9881179928779602,mbk-14-11-vehicle_1714357501.mp4,0.9999860688619868,6กจ2543,suv,0.4861771050855764,mbk-14-11-vehicle,2178,white,mbk-14-11-vehicle_1714357501.mp4,0.9993508458137512,th-10,1870.0,213.0,1714357728,1714357759,1,2
51.625,1716.7793108046828,18,True,2024-04-29 02:30:57.229,195.30653578125032,2024-04-29 02:30:01,toyota,457,2190.050658513386,2024-04-29T09-30-57_FLAG_P_FID_457_OID_59g0_mbk-14-11-vehicle_1714357801_1714357857_457.jpg,437,mbk-14-11_1714357801.mp4,0.9981282353401184,economy,,1มข4258,1614,0.9999691247940063,mbk-14-11-vehicle_1714357801.mp4,0.9999917402285564,1มข4258,taxi,0.6977100275718479,mbk-14-11-vehicle,2204,yellow,mbk-14-11-vehicle_1714357801.mp4,0.9999785423278807,th-10,1909.0,227.5,1714357857,1714357908,0,0
0.880000114440918,833.0929691206373,0,True,2024-04-29 02:32:02.091,196.24409681458027,2024-04-29 02:30:01,toyota,976,840.7855626070058,2024-04-29T09-32-02_FLAG_P_FID_976_OID_68g0_mbk-14-11-vehicle_1714357801_1714357922_976.jpg,227,mbk-14-11_1714357801.mp4,0.9710782766342164,economy,,ทก7425,991,0.4994434416294098,mbk-14-11-vehicle_1714357801.mp4,0.7951866926362431,ทก7425,pickup,0.7939250834031248,mbk-14-11-vehicle,1621,yellow,mbk-14-11-vehicle_1714357801.mp4,0.8146580457687378,th-10,1306.0,113.5,1714357922,1714357922,0,0
1.5989999771118164,909.2330604909764,0,True,2024-04-29 02:32:09.729,197.61816005057503,2024-04-29 02:30:01,toyota,1037,923.6258202923982,2024-04-29T09-32-09_FLAG_P_FID_1037_OID_69g0_mbk-14-11-vehicle_1714357801_1714357929_1037.jpg,222,mbk-14-11_1714357801.mp4,0.913294553756714,economy,,ทห4000,1098,0.3644233644008636,mbk-14-11-vehicle_1714357801.mp4,0.9136219473912052,ทท4000,pickup,0.6196877101405218,mbk-14-11-vehicle,1710,yellow,mbk-14-11-vehicle_1714357801.mp4,0.7207692861557007,th-10,1404.0,111.0,1714357929,1714357930,0,0
2.119999885559082,1118.556560466461,0,True,2024-04-29 02:39:08.895,194.67639313745,2024-04-29 02:35:01,other,1990,1133.9302320816544,2024-04-29T09-39-08_FLAG_P_FID_1990_OID_74g0_mbk-14-11-vehicle_1714358101_1714358348_1990.jpg,292,mbk-14-11_1714358101.mp4,0.999397039413452,,,1มค3722,998,0.6905646324157715,mbk-14-11-vehicle_1714358101.mp4,0.9197220662437536,1มค3722,taxi,0.8405556090342811,mbk-14-11-vehicle,1712,yellow,mbk-14-11-vehicle_1714358101.mp4,0.9937673807144164,th-10,1355.0,146.0,1714358348,1714358350,0,0
2.998999834060669,1694.7213933539394,11,False,2024-04-29 02:39:49.124,188.02371922508783,2024-04-29 02:35:01,bike,2312,1736.593671885228,2024-04-29T09-39-49_FLAG_P_FID_2312_OID_84g0_mbk-14-11-vehicle_1714358101_1714358389_2312.jpg,398,mbk-14-11_1714358101.mp4,0.9882586002349854,,,14570,1220,0.665669858455658,mbk-14-11-vehicle_1714358101.mp4,0.5154550571196856,14570,tuktuk,0.5324410383485015,mbk-14-11-vehicle,1885,yellow,mbk-14-11-vehicle_1714358101.mp4,0.9999868869781494,,1552.5,204.5,1714358389,1714358391,0,0
1.880000114440918,1044.1197664554622,0,True,2024-04-29 02:44:01.617,193.49073430340476,2024-04-29 02:40:01,bike,1934,1053.846320377536,2024-04-29T09-44-01_FLAG_P_FID_1934_OID_96g0_mbk-14-11-vehicle_1714358401_1714358641_1934.jpg,283,mbk-14-11_1714358401.mp4,0.9924865961074828,,,สก4353,1140,0.9988982677459716,mbk-14-11-vehicle_1714358401.mp4,0.8495724741007635,ลก4353,motorbike,0.681725339358972,mbk-14-11-vehicle,1630,yellow,mbk-14-11-vehicle_1714358401.mp4,0.629721462726593,th-10,1385.0,141.5,1714358641,1714358642,0,0
32.99000000953674,338.4366861979167,21,True,2024-04-29 02:45:21.520,208.07248693585296,2024-04-29 02:45:01,honda,171,515.0235147987242,2024-04-29T09-45-21_FLAG_P_FID_171_OID_101g0_mbk-14-11-vehicle_1714358701_1714358721_171.jpg,423,mbk-14-11_1714358701.mp4,0.9948529601097108,economy,,2กช2606,1574,0.9834797382354736,mbk-14-11-vehicle_1714358701.mp4,0.999990032683566,2กข2606,sedan,0.4608896650364228,mbk-14-11-vehicle,2141,white,mbk-14-11-vehicle_1714358701.mp4,0.9999576807022096,th-10,1857.5,222.0,1714358721,1714358753,0,1
