is_plate_valid,travel_distance,vehicle_type_confidence,lifetime,ymin,plate_number,xmin,province_confidence,similarized_plate_number,plate_number_confidence,xmax,image_name,purchasing_power,province,camera,travel_displacement,timestamp,car_brand,travel_trajectory,frame_no,original_video_name,ymax,plate_color_confidence,vehicle_type,car_brand_confidence,plate_color,plate_image_name,timestamp_precise,true_video_name,video_name,xmid,ymid,timestamp_unix,timestamp_unix_end,cluster_cross_list,cross_count,cluster_reverse_list,reverse_count
False,7.406441329723768,,1.3580000400543213,0,,712,,,,1672,,,,mbk-14-13-vehicle-snapshot,7.406441329723768,2024-04-28 02:25:01,,108.43494882292146,0,mbk-14-13-vehicle-snapshot_1714271101.mp4,337,,,,,,2024-04-28 02:25:01.000,mbk-14-13_1714271101.mp4,mbk-14-13-vehicle-snapshot_1714271101.mp4,1192.0,168.5,1714271101,1714271102,[],0,[],0
False,28.97045407843659,,37.50999999046326,2,,143,,,,2082,,,,mbk-14-13-vehicle-snapshot,28.97045407843659,2024-04-28 02:25:01,,284.03624346792645,900,mbk-14-13-vehicle-snapshot_1714271101.mp4,1133,,,,,,2024-04-28 02:26:52.614,mbk-14-13_1714271101.mp4,mbk-14-13-vehicle-snapshot_1714271101.mp4,1112.5,567.5,1714271212,1714271249,"[5, 6]",5,[],0
False,317.32085180780064,0.9625004529953004,149.9579999446869,0,,208,,,,1300,2024-04-28T10-03-07_FLAG_P_FID_1500_OID_1g0_mbk-14-13-vehicle-snapshot_1714273201_1714273387_1500.jpg,,,mbk-14-13-vehicle-snapshot,317.32085180780064,2024-04-28 03:00:01,discard,31.108808828545147,1500,mbk-14-13-vehicle-snapshot_1714273201.mp4,597,,taxi,0.9927054047584534,,,2024-04-28 03:03:07.593,mbk-14-13_1714273201.mp4,mbk-14-13-vehicle-snapshot_1714273201.mp4,754.0,298.5,1714273387,1714273536,[8],5,[27],2
True,63.41055790172458,0.9939507246017456,37.4689998626709,0,801738,1546,0.2141554504632949,801738,0.9800617912308726,2038,2024-04-28T10-38-07_FLAG_P_FID_1500_OID_9g0_mbk-14-13-vehicle-snapshot_1714275301_1714275487_1500.jpg,,th-83,mbk-14-13-vehicle-snapshot,63.41055790172458,2024-04-28 03:35:01,discard,184.2363947990588,1500,mbk-14-13-vehicle-snapshot_1714275301.mp4,222,0.2713397125131384,pickup,0.89296555519104,white,,2024-04-28 03:38:07.633,mbk-14-13_1714275301.mp4,mbk-14-13-vehicle-snapshot_1714275301.mp4,1792.0,111.0,1714275487,1714275524,"[26, 27]",7,[33],2
False,276.1545059675,0.9894636869430542,37.47000002861023,0,,136,,,,1813,2024-04-28T10-56-15_FLAG_P_FID_600_OID_11g0_mbk-14-13-vehicle-snapshot_1714276501_1714276575_600.jpg,,,mbk-14-13-vehicle-snapshot,276.1545059675,2024-04-28 03:55:01,discard,210.5887349672429,600,mbk-14-13-vehicle-snapshot_1714276501.mp4,1433,,pickup,0.9944285154342652,,,2024-04-28 03:56:15.105,mbk-14-13_1714276501.mp4,mbk-14-13-vehicle-snapshot_1714276501.mp4,974.5,716.5,1714276575,1714276612,"[98, 99]",7,[17],3
True,17.56591796875,0.4410249292850494,37.47099995613098,0,ฮง6191,1553,0.6089096069335938,ธง6191,0.9983280402908984,2183,2024-04-28T10-58-45_FLAG_P_FID_1800_OID_14g0_mbk-14-13-vehicle-snapshot_1714276501_1714276725_1800.jpg,,th-10,mbk-14-13-vehicle-snapshot,17.56591796875,2024-04-28 03:55:01,toyota,180.0,1800,mbk-14-13-vehicle-snapshot_1714276501.mp4,327,0.717405862258772,other,0.9820038676261902,white,,2024-04-28 03:58:45.065,mbk-14-13_1714276501.mp4,mbk-14-13-vehicle-snapshot_1714276501.mp4,1868.0,163.5,1714276725,1714276762,[],0,[],0
True,318.298225086452,1.0,36.1100001335144,0,สก2765,1143,0.7758973240852356,ลก2765,0.9999529677198442,1888,2024-04-28T10-59-58_FLAG_P_FID_2400_OID_14g1_mbk-14-13-vehicle-snapshot_1714276501_1714276798_2400.jpg,,th-10,mbk-14-13-vehicle-snapshot,318.298225086452,2024-04-28 03:55:01,discard,213.74853258682367,2400,mbk-14-13-vehicle-snapshot_1714276501.mp4,747,0.5675505796858034,tuktuk,0.9995425939559937,yellow,,2024-04-28 03:59:58.683,mbk-14-13_1714276501.mp4,mbk-14-13-vehicle-snapshot_1714276501.mp4,1515.5,373.5,1714276798,1714276834,[33],3,[18],3
False,386.5300321474211,0.8092772364616394,298.1630001068115,0,,614,,,,1721,2024-04-28T11-04-59_FLAG_P_FID_2400_OID_2g0_mbk-14-13-vehicle-snapshot_1714276801_1714277099_2400.jpg,,,mbk-14-13-vehicle-snapshot,386.5300321474211,2024-04-28 04:05:01,bike,205.8663567940945,2400,mbk-14-13-vehicle-snapshot_1714276801.mp4,1086,,tuktuk,0.7852300405502319,,,2024-04-28 04:04:59.163,mbk-14-13_1714276801.mp4,mbk-14-13-vehicle-snapshot_1714277101.mp4,1167.5,543.0,1714277099,1714277397,[13],3,[],0
True,76.34384978097829,0.9948666095733644,36.10999989509583,0,สก2765,1382,0.9365804195404052,ลก2765,0.9998441399352466,1848,2024-04-28T11-19-58_FLAG_P_FID_2400_OID_5g0_mbk-14-13-vehicle-snapshot_1714277701_1714277998_2400.jpg,,,mbk-14-13-vehicle-snapshot,76.34384978097829,2024-04-28 04:20:01,bike,94.39870535499549,2400,mbk-14-13-vehicle-snapshot_1714277701.mp4,295,0.6019436960120053,motorbike,0.9994425177574158,yellow,,2024-04-28 04:19:58.682,mbk-14-13_1714277701.mp4,mbk-14-13-vehicle-snapshot_1714278001.mp4,1615.0,147.5,1714277998,1714278034,"[14, 15]",6,[2],2
False,3.31226125692532,0.9999812841415404,37.46799993515015,2,,138,,,,1796,2024-04-28T11-37-30_FLAG_P_FID_1200_OID_9g0_mbk-14-13-vehicle-snapshot_1714278901_1714279050_1200.jpg,,,mbk-14-13-vehicle-snapshot,3.31226125692532,2024-04-28 04:35:01,discard,315.0,1200,mbk-14-13-vehicle-snapshot_1714278901.mp4,1386,,bus,0.9999940395355223,,,2024-04-28 04:37:30.083,mbk-14-13_1714278901.mp4,mbk-14-13-vehicle-snapshot_1714278901.mp4,967.0,694.0,1714279050,1714279087,[29],3,"[41, 42]",8
